year,name,value
1983,Rwanda,7.645
1984,Rwanda,7.55
1985,Rwanda,7.398
1986,Rwanda,7.246
1987,Rwanda,7.094
1988,Rwanda,6.942
1989,Rwanda,6.79
1990,Rwanda,6.595
1991,Rwanda,6.4
1992,Rwanda,6.18
1993,Rwanda,5.96
1994,Rwanda,4.91
1995,Rwanda,5.2922
1996,Rwanda,6.5045
1997,Rwanda,6.2813
1998,Rwanda,6.0581
1999,Rwanda,5.835
2000,Rwanda,5.7638
2001,Rwanda,5.6925
2002,Rwanda,5.6212
2003,Rwanda,5.55
2004,Rwanda,5.4788
2005,Rwanda,5.4075
2006,Rwanda,5.2615
2007,Rwanda,5.1155
2008,Rwanda,4.9695
2009,Rwanda,4.8235
2010,Rwanda,4.6775
2011,Rwanda,4.562
2012,Rwanda,4.4465
2013,Rwanda,4.331
2014,Rwanda,4.2155
2015,Rwanda,4.1
2016,Rwanda,3.984
2017,Rwanda,3.868
2018,Rwanda,3.752
2019,Rwanda,3.636
2020,Rwanda,3.52
2021,Rwanda,3.424
2022,Rwanda,3.328
2023,Rwanda,3.232
2024,Rwanda,3.136
2025,Rwanda,3.04
2026,Rwanda,2.966
2027,Rwanda,2.892
2028,Rwanda,2.818
2029,Rwanda,2.744
2030,Rwanda,2.67
2031,Rwanda,2.622
2032,Rwanda,2.574
2033,Rwanda,2.526
2034,Rwanda,2.478
2035,Rwanda,2.43
2036,Rwanda,2.396
2037,Rwanda,2.362
2038,Rwanda,2.328
2039,Rwanda,2.294
2040,Rwanda,2.26
2041,Rwanda,2.24
2042,Rwanda,2.22
2043,Rwanda,2.2
2044,Rwanda,2.18
2045,Rwanda,2.16
2046,Rwanda,2.148
2047,Rwanda,2.136
2048,Rwanda,2.124
2049,Rwanda,2.112
2050,Rwanda,2.1
2051,Rwanda,2.092
2052,Rwanda,2.084
2053,Rwanda,2.076
2054,Rwanda,2.068
2055,Rwanda,2.06
2056,Rwanda,2.052
2057,Rwanda,2.044
2058,Rwanda,2.036
2059,Rwanda,2.028
2060,Rwanda,2.02
2061,Rwanda,2.012
2062,Rwanda,2.004
2063,Rwanda,1.996
2064,Rwanda,1.988
2065,Rwanda,1.98
2066,Rwanda,1.972
2067,Rwanda,1.964
2068,Rwanda,1.956
2069,Rwanda,1.948
2070,Rwanda,1.94
2071,Rwanda,1.932
2072,Rwanda,1.924
2073,Rwanda,1.916
2074,Rwanda,1.908
2075,Rwanda,1.9
2076,Rwanda,1.892
2077,Rwanda,1.884
2078,Rwanda,1.876
2079,Rwanda,1.868
2080,Rwanda,1.86
2081,Rwanda,1.852
2082,Rwanda,1.844
2083,Rwanda,1.836
2084,Rwanda,1.828
2085,Rwanda,1.82
2086,Rwanda,1.812
2087,Rwanda,1.804
2088,Rwanda,1.796
2089,Rwanda,1.788
2090,Rwanda,1.78
2091,Rwanda,1.772
2092,Rwanda,1.764
2093,Rwanda,1.756
2094,Rwanda,1.748
2095,Rwanda,1.74
2096,Rwanda,1.732
2097,Rwanda,1.724
2098,Rwanda,1.716
2099,Rwanda,1.708
2100,Rwanda,1.7
